name,officialWebsite,latitude,longitude
The Homestead Ski Area,https://www.omnihotels.com/hotels/homestead-virginia/things-to-do/ski,37.9945393246973,-79.8213386535645
Wintergreen Resort,http://www.wintergreenresort.com,37.919690743995,-78.9451789855957
Mad River Glen,http://www.madriverglen.com,44.199752742045,-72.925491252539
Magic Mountain,http://www.magicmtn.com,43.1984186853483,-72.7667427062988
Jay Peak,http://jaypeakresort.com/,44.928547155091,-72.514071065652
Saskadena Six (formerly Suicide Six),https://www.woodstockinn.com/ski-area,43.663888888889,-72.544444444444
Okemo Mountain Resort,http://okemo.com,43.410228868997,-72.733165400523
Sugarbush Resort,https://www.sugarbush.com/,44.148588670556,-72.910809861836
Ascutney Outdoors,,43.4608937800826,-72.4632453918457
Cochran's Ski Area,http://www.cochranskiarea.org/,44.396811336039,-72.9820489883423
Burke Mountain,http://www.skiburke.com/,44.568055555556,-71.885833333333
Smugglers' Notch Resort,http://www.smuggs.com/,44.570220368324,-72.771087504604
Mount Snow,https://www.mountsnow.com,42.961588905999,-72.907748315688
Killington,http://www.killington.com,43.620054320571,-72.806830769519
Stowe Mountain Resort,http://www.stowe.com,44.529778358652,-72.790327702853
Stratton Mountain Resort,https://www.stratton.com/,43.102252692073,-72.909626272697
Middlebury College Snow Bowl,,43.94,-72.96
Quechee Lakes,http://www.quecheeclub.com/,43.65644669723089,-72.44453430175776
Bolton Valley Resort,http://www.boltonvalley.com,44.415833333333,-72.869722222222
Bromley Mountain,https://www.bromley.com/,43.227777777778,-72.938611111111
Snowbasin,http://www.snowbasin.com/,41.201505936011,-111.86125784888
Beaver Mountain Ski Area,,41.968333333333,-111.54166666667
Nordic Valley Resort,http://nordicvalley.com/,41.3103554,-111.8648485
Brighton Ski Resort,https://brightonresort.com/,40.59312888125,-111.57823291875
Deer Valley Resort,,40.620991937564,-111.48925008823
Alta Ski Area,https://www.alta.com/,40.587624565557874,-111.63740158081056
Solitude Mountain Resort,https://solitudemountain.com/,40.619620700952034,-111.59212589263917
Snowbird Ski and Summer Resort,https://www.snowbird.com/,40.57967203006171,-111.6559410095215
Brian Head Resort,https://www.brianhead.com/,37.690528913503,-112.84595695893
Powder Mountain,,41.37995874677,-111.76797883721
Park City Mountain Resort (The Canyons),http://parkcitymountain.com,40.633565571877,-111.52393512664
Sundance,,40.380272366609,-111.58739950947
Eagle Point,http://www.skieaglepoint.com,38.31741722616916,-112.38739013671875
Ober Gatlinburg Ski Resort,https://obergatlinburg.com/,35.7014288312721,-83.5592222213745
Terry Peak Ski Area,,44.3307862513214,-103.834190368652
Great Bear Recreation Park,,43.5821,-96.664966666667
Ski Mystic Deer Mountain,http://skimystic.com,44.308433333333,-103.81844166667
Yawgoo Valley Ski Area,http://www.yawgoo.com,41.51692092898834,-71.52685222201887
Ski Big Bear,,41.523294569557024,-75.02400398254395
Camelback Resort,https://www.camelbackresort.com/ski-tube/poconos-ski-snowboarding-resort/,41.04867657695142,-75.3519630432129
Tanglwood Ski Area,http://www.tanglwood.net,41.405140820471,-75.181503295898
Seven Springs Mountain Resort,,40.024278864987,-79.302938122739
Blue Knob,http://www.blueknob.com/,40.2932751085126,-78.5604858398438
Roundtop Mountain Resort (Ski Roundtop),https://www.skiroundtop.com/,40.1068309507929,-76.92626953125
Liberty Mountain,,39.7584078513983,-77.3679542541504
Ski Denton,https://www.dcnr.pa.gov/StateParks/FindAPark/DentonHillStatePark/Pages/default.aspx,41.7733600744208,-77.8321266174316
Mt. Pleasant,,41.851182561454245,-80.07089138031006
Shawnee Mountain,https://www.shawneemt.com/,41.0349525173677,-75.0781631469727
Montage Mountain,http://montagemountainresorts.com/,41.3522010044002,-75.6595802307129
Minocqua Winter Park,http://minocquawinterpark.org/,45.83047382900784,-89.8952865600586
Eagle Rock Ski Area,http://ddresorts.com,40.92187926636962,-76.10358238220215
Elk Mountain,http://www.elkskier.com/,41.719461278101,-75.558808882752
Big Boulder Ski Area,https://www.jfbb.com/,41.0472525151724,-75.6017303466797
Blue Marsh,,40.423967612674055,-76.11407518386841
Jack Frost,,41.10863339297051,-75.65174482762815
Alpine Mountain,,41.11350344637792,-75.22579193115234
Bear Creek Ski & Recreation Area,https://www.bcmountainresort.com/,40.4755501467135,-75.6278228759766
Tussey Mountain,,40.768387,-77.752617
Blue Mountain Ski Area,,40.8140690696122,-75.5136680603027
Boyce Park Ski Area,http://www.alleghenycounty.us/parks/activities/winter-sports/skiing-and-snowboarding.aspx,40.4614835,-79.74684430000002
Whitetail Ski Resort,,39.745342142784,-77.9366683959961
Spring Mountain Ski Area,https://springmountainadventures.com/,40.2707507551508,-75.4534149169922
Ski Sawmill,,41.5161612878866,-77.2901916503906
Mt. Hood SkiBowl,,45.2967468753253,-121.756410598755
Anthony Lakes Mountain Resort,,44.9637,-118.2348
Ferguson Ridge,,45.2822849040753,-117.1125841140747
Timberline Lodge & Ski Area,https://www.timberlinelodge.com/,45.3309699127698,-121.711950302124
Willamette Pass,,43.601666666667,-122.03166666667
Hoodoo Ski Area,,44.409,-121.872
Spout Springs,http://www.spoutspringsskiarea.com/,45.75710408209,-118.048052787781
Mt. Bachelor,,43.991399869935,-121.6845314007
Mt. Hood Meadows Ski Resort,https://www.skihood.com/,45.337326845838,-121.66521879191
Cooper Spur Ski Area,http://cooperspur.com/,45.4125,-121.60540000000003
Summit Ski Area,https://summitskiarea.com/,45.30302566447785,-121.74576759338379
Mt. Ashland Ski & Snowboard Resort,,42.083333333333,-122.71666666667
Clear Fork Ski Area,,40.59352317160978,-82.41228818893433
Boston Mills,,41.2638722338955,-81.5649032592773
Alpine Valley Ski Area,,41.528499441034064,-81.25883102416992
Mad River Mountain,,40.316316666667,-83.680563888889
Snow Trails,,40.6710690934658,-82.5018739700317
Bottineau Winter Park,,48.9505209893576,-100.47194480896
Thrill Hills (Bears Den Mountain/Fort Ransom),https://www.facebook.com/pages/category/Sports---Recreation/Thrill-Hills-109028900630748/,46.5314100131139,-97.9371070861816
Huff Hills,,46.6268800753185,-100.723514556885
Frost Fire Ski and Snow Board,http://frostfireskiarea.com/,48.9106543703518,-98.0661964416504
Sapphire Valley,http://www.sapphirevalley.com/Sapphire_Ski_Area.php,35.124151487304616,-83.05873274803162
Appalachian Ski Mtn.,,36.1737033620756,-81.663179397583
Hawksnest Golf & Ski Resort,,36.14286537528354,-81.82634353637695
Beech Mountain Ski Resort,https://www.beechmountainresort.com/,36.1885289958181,-81.8787002563477
Cataloochee Ski Area,http://cataloochee.com/index-home.php,35.563061111111,-83.08965
Wolf Ridge Ski Resort,https://skiwolfridgenc.com/,35.9495667534677,-82.5058972835541
Sugar Mountain Resort,http://skisugar.com/trailmap/,36.1277538007934,-81.866340637207
Royal Mountain,,43.0836210122611,-74.5071315765381
Kissing Bridge,https://www.kbski.com/,42.6008618027895,-78.6581611633301
Plattekill Mountain,https://plattekill.com,42.2891197679707,-74.6539878845215
Oak Mountain Ski Center,http://oakmountainski.com/oak/,43.5171864703365,-74.3621635437012
Whiteface Mountain - Lake Placid,http://www.whiteface.com,44.359915477581,-73.879933547967
Cortina Valley,,42.189737,-74.118404
